alg_name,K,n,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,bool,float64,int64,int64,int64
Harrington,2,9,True,True,0.001,100,191360,1000
Harrington,2,9,True,True,0.0014,100,87360,1000
Harrington,2,9,True,True,0.0019,100,47680,1000
Harrington,2,9,True,True,0.0027,100,18880,1000
Harrington,2,9,True,True,0.0037,103,9920,1000
Harrington,2,9,True,True,0.0052,102,4160,1000
Harrington,2,9,True,True,0.0072,100,1920,1000
Harrington,2,9,True,True,0.01,121,1280,500
Harrington,2,9,True,True,0.0139,118,640,500
Harrington,2,9,True,True,0.0193,395,3200,100
Harrington,2,9,True,True,0.0268,1040,6400,50
Harrington,2,9,True,True,0.0373,1819,16000,20
Harrington,2,9,True,True,0.0518,3817,16000,20
Harrington,2,9,True,True,0.072,6775,32000,10
Harrington,3,27,True,True,0.001,100,8321280,1000
Harrington,3,27,True,True,0.0014,100,3652800,1000
Harrington,3,27,True,True,0.0019,100,1563840,1000
Harrington,3,27,True,True,0.0027,100,754240,1000
Harrington,3,27,True,True,0.0037,100,190080,1000
Harrington,3,27,True,True,0.0052,100,48640,1000
Harrington,3,27,True,True,0.0072,100,10880,1000
Harrington,3,27,True,True,0.01,119,1920,1000
Harrington,3,27,True,True,0.0139,168,1280,500
Harrington,3,27,True,True,0.0193,238,1600,200
Harrington,3,27,True,True,0.0268,591,3200,100
Harrington,3,27,True,True,0.0373,1291,6400,50
Harrington,3,27,True,True,0.0518,1986,16000,20
Harrington,3,27,True,True,0.072,5045,16000,20
Harrington,4,81,True,True,0.001,0,6510400,1000
Harrington,4,81,True,True,0.0014,0,6209920,1000
Harrington,4,81,True,True,0.0019,0,6310080,1000
Harrington,4,81,True,True,0.0027,0,6410240,1000
Harrington,4,81,True,True,0.0037,0,6410240,1000
Harrington,4,81,True,True,0.0052,58,9971200,1000
Harrington,4,81,True,True,0.0072,100,546240,1000
Harrington,4,81,True,True,0.01,100,13120,1000
Harrington,4,81,True,True,0.0139,130,960,1000
Harrington,4,81,True,True,0.0193,168,640,500
Harrington,4,81,True,True,0.0268,430,1600,200
Harrington,4,81,True,True,0.0373,976,3200,100
Harrington,4,81,True,True,0.0518,2090,6400,50
Harrington,4,81,True,True,0.072,3073,16000,20